SampleName	BatchID	SampleID	Concentration	splitData	BackGround	Baffle	has_hash	exclude	exclude_reason
batch-2025-04-02_1	batch-2025-04-02	1	12.02	train_set	bgl1100	no	0	0	
batch-2025-04-02_2	batch-2025-04-02	2	136.74	train_set	bgl1100	no	0	0	
batch-2025-04-02_3	batch-2025-04-02	3	342.27	train_set	bgl1100	no	0	0	
batch-2025-04-02_4	batch-2025-04-02	4	593.77	train_set	bgl1100	no	0	0	
batch-2025-04-02_5	batch-2025-04-02	5	333.3	train_set	bgl1100	no	0	0	
batch-2025-04-02_7	batch-2025-04-02	7	383.43	train_set	bgl1100	no	0	0	
batch-2025-04-02_8	batch-2025-04-02	8	588.5	train_set	bgl1100	no	1	0	
batch-2025-04-02_9	batch-2025-04-02	9	447.28	train_set	bgl1100	no	0	0	
batch-2025-04-02_12	batch-2025-04-02	12	389.23	train_set	bgl1100	no	0	0	
batch-2025-04-02_13	batch-2025-04-02	13	653.93	train_set	bgl1100	no	1	0	
batch-2025-04-02_14	batch-2025-04-02	14	349.13	train_set	bgl1100	no	0	0	
batch-2025-04-02_15	batch-2025-04-02	15	152.68	train_set	bgl1100	no	0	0	
batch-2025-04-02_16	batch-2025-04-02	16	70.59	train_set	bgl1100	no	0	0	
batch-2025-04-02_17	batch-2025-04-02	17	87.26	train_set	bgl1100	no	0	0	
batch-2025-04-02_18	batch-2025-04-02	18	84.78	train_set	bgl1100	no	0	0	
batch-2025-04-02_19	batch-2025-04-02	19	7.46	train_set	bgl1100	no	0	0	
batch-2025-04-16_1	batch-2025-04-16	1	731.73	train_set	bgl1100	no	0	0	
batch-2025-04-16_2	batch-2025-04-16	2	6.57	train_set	bgl1100	no	0	0	
batch-2025-04-16_3	batch-2025-04-16	3	977.44	train_set	bgl1100	no	0	0	
batch-2025-04-16_4	batch-2025-04-16	4	6.63	train_set	bgl1100	no	1	0	
batch-2025-04-16_5	batch-2025-04-16	5	668.93	train_set	bgl1100	no	0	0	
batch-2025-04-16_6	batch-2025-04-16	6	808.03	train_set	bgl1100	no	0	0	
batch-2025-04-16_7	batch-2025-04-16	7	967.94	train_set	bgl1100	no	0	0	
batch-2025-04-16_8	batch-2025-04-16	8	903.32	train_set	bgl1100	no	0	0	
batch-2025-04-16_9	batch-2025-04-16	9	1108.51	train_set	bgl1100	no	0	0	
batch-2025-04-16_10	batch-2025-04-16	10	647.75	train_set	bgl1100	no	0	0	
