BatchID-lab	splitData	BackGround	Baffle
batch-2025-04-02	train_set	bgl1100	no
batch-2025-04-16	train_set	bgl1100	no
batch-2025-04-25	train_set	bgl1100	no
batch-2025-06-04_1	train_set	bgl1100	no
batch-2025-06-04_2	train_set	bgl1100	no
batch-2025-06-11_1	train_set	bgl1100	no
batch-2025-06-11_2	train_set	bgl1100	no
batch-2025-07-30_1	train_set	bgl1100	no
batch-2025-07-30_2	train_set	bgl1100	no
batch-2025-12-03_1_bgl1050	test_set3	bgl1050	no
batch-2025-12-03_1_bgl1100	test_set1	bgl1100	no
batch-2025-12-03_1_bgl1100_Baffle	test_set2	bgl1100	yes
batch-2025-12-03_1_bgl1120	test_set4	bgl1120	no
batch-2025-12-03_2_bgl1050	train_set	bgl1050	no
batch-2025-12-03_2_bgl1100	train_set	bgl1100	no
batch-2025-12-03_2_bgl1100_Baffle	train_set	bgl1100	yes
batch-2025-12-03_2_bgl1120	train_set	bgl1120	no
batch-2025-12-04_3_bgl1050	train_set	bgl1050	no
batch-2025-12-04_3_bgl1100	train_set	bgl1100	no
batch-2025-12-04_3_bgl1100_Baffle	train_set	bgl1100	yes
batch-2025-12-04_3_bgl1120	train_set	bgl1120	no
batch-2025-12-04_4_bgl1050	test_set3	bgl1050	no
batch-2025-12-04_4_bgl1100	test_set1	bgl1100	no
batch-2025-12-04_4_bgl1100_Baffle	test_set2	bgl1100	yes
batch-2025-12-04_4_bgl1120	test_set4	bgl1120	no
